epoch,accuracy,loss,val_accuracy,val_loss
0,0.20314019918441772,3.6981942653656006,0.6208881735801697,1.957947850227356
1,0.4533138871192932,2.3630852699279785,0.7552631497383118,1.0947291851043701
2,0.5411282181739807,1.8466318845748901,0.7939144968986511,0.8119450807571411
3,0.576003909111023,1.6367007493972778,0.8059210777282715,0.6984730958938599
4,0.588022768497467,1.5464802980422974,0.816447377204895,0.6387687921524048
5,0.6058774590492249,1.4543310403823853,0.8213815689086914,0.6017636060714722
6,0.6180353164672852,1.405219316482544,0.8205592036247253,0.586169421672821
7,0.6296373605728149,1.3621129989624023,0.8263157606124878,0.5686192512512207
8,0.6357510089874268,1.326876163482666,0.8287829160690308,0.5660876035690308
9,0.6372794508934021,1.2906606197357178,0.8289473652839661,0.5526833534240723
10,0.645824670791626,1.272180199623108,0.8297697305679321,0.5474998354911804
11,0.6475614905357361,1.2506029605865479,0.8353618383407593,0.5405114889144897
12,0.659233033657074,1.2055704593658447,0.8338815569877625,0.5376634001731873
13,0.66402667760849,1.1945548057556152,0.8319078683853149,0.5353419780731201
14,0.6631235480308533,1.178360939025879,0.8337171077728271,0.5366702079772949
15,0.6711129546165466,1.162331461906433,0.8363487124443054,0.5327897071838379
16,0.6706266403198242,1.1553516387939453,0.8343750238418579,0.5331463813781738
17,0.6800750494003296,1.1276570558547974,0.83585524559021,0.5275951027870178
18,0.6807003021240234,1.1230454444885254,0.8345394730567932,0.5273944139480591
19,0.6777129173278809,1.1206759214401245,0.8401315808296204,0.5275929570198059
20,0.6822981834411621,1.1134624481201172,0.8356907963752747,0.5242900252342224
21,0.6851465702056885,1.0905187129974365,0.8365131616592407,0.5275814533233643
22,0.6916075944900513,1.0688111782073975,0.8396381735801697,0.5255993604660034
23,0.6913297176361084,1.073964238166809,0.8388158082962036,0.5260960459709167
